NAICS Code,NAICS Description,Total Employment,State
55,Management of companies and enterprises,83045.0,Massachusetts
56,Administrative and support and waste management and remediation services,185750.0,Massachusetts
61,Educational services,191345.0,Massachusetts
62,Health care and social assistance,549052.0,Massachusetts
71,"Arts, entertainment, and recreation",51227.0,Massachusetts
72,Accommodation and food services,256302.0,Massachusetts
81,Other services (except public administration),119796.0,Massachusetts
99,Industries not classified,746.0,Massachusetts
--,Total,3383615.0,Michigan
11,"Agriculture, forestry, fishing and hunting",2993.0,Michigan
21,"Mining, quarrying, and oil and gas extraction",5738.0,Michigan
22,Utilities,0.0,Michigan
23,Construction,116417.0,Michigan
31-33,Manufacturing,470900.0,Michigan
42,Wholesale trade,158543.0,Michigan
44-45,Retail trade,448068.0,Michigan
48-49,Transportation and warehousing,96228.0,Michigan
51,Information,73316.0,Michigan
52,Finance and insurance,156163.0,Michigan
53,Real estate and rental and leasing,51173.0,Michigan
54,"Professional, scientific, and technical services",240983.0,Michigan
55,Management of companies and enterprises,100522.0,Michigan
56,Administrative and support and waste management and remediation services,264366.0,Michigan
61,Educational services,69748.0,Michigan
62,Health care and social assistance,568492.0,Michigan
71,"Arts, entertainment, and recreation",51721.0,Michigan
72,Accommodation and food services,327911.0,Michigan
81,Other services (except public administration),157741.0,Michigan
99,Industries not classified,1176.0,Michigan
--,Total,2417174.0,Minnesota
11,"Agriculture, forestry, fishing and hunting",2462.0,Minnesota
21,"Mining, quarrying, and oil and gas extraction",4703.0,Minnesota
22,Utilities,0.0,Minnesota
23,Construction,99101.0,Minnesota
31-33,Manufacturing,307822.0,Minnesota
42,Wholesale trade,131638.0,Minnesota
44-45,Retail trade,291328.0,Minnesota
48-49,Transportation and warehousing,75384.0,Minnesota
51,Information,64096.0,Minnesota
52,Finance and insurance,148621.0,Minnesota
53,Real estate and rental and leasing,36296.0,Minnesota
54,"Professional, scientific, and technical services",139270.0,Minnesota
55,Management of companies and enterprises,118124.0,Minnesota
56,Administrative and support and waste management and remediation services,123915.0,Minnesota
61,Educational services,66458.0,Minnesota
62,Health care and social assistance,421935.0,Minnesota
71,"Arts, entertainment, and recreation",39550.0,Minnesota
72,Accommodation and food services,213136.0,Minnesota
81,Other services (except public administration),119334.0,Minnesota
99,Industries not classified,290.0,Minnesota
--,Total,904037.0,Mississippi
11,"Agriculture, forestry, fishing and hunting",4231.0,Mississippi
21,"Mining, quarrying, and oil and gas extraction",5252.0,Mississippi
22,Utilities,9342.0,Mississippi
23,Construction,46548.0,Mississippi
31-33,Manufacturing,149363.0,Mississippi
42,Wholesale trade,35055.0,Mississippi
44-45,Retail trade,137660.0,Mississippi
48-49,Transportation and warehousing,33954.0,Mississippi
51,Information,14146.0,Mississippi
52,Finance and insurance,35142.0,Mississippi
53,Real estate and rental and leasing,10397.0,Mississippi
54,"Professional, scientific, and technical services",32607.0,Mississippi
55,Management of companies and enterprises,7591.0,Mississippi
56,Administrative and support and waste management and remediation services,46331.0,Mississippi
61,Educational services,17375.0,Mississippi
62,Health care and social assistance,154190.0,Mississippi
71,"Arts, entertainment, and recreation",8158.0,Mississippi
72,Accommodation and food services,116644.0,Mississippi
81,Other services (except public administration),39954.0,Mississippi
99,Industries not classified,97.0,Mississippi
--,Total,2358706.0,Missouri
11,"Agriculture, forestry, fishing and hunting",1405.0,Missouri
21,"Mining, quarrying, and oil and gas extraction",3666.0,Missouri
22,Utilities,16732.0,Missouri
23,Construction,127958.0,Missouri
31-33,Manufacturing,259237.0,Missouri
42,Wholesale trade,124339.0,Missouri
44-45,Retail trade,307984.0,Missouri
48-49,Transportation and warehousing,83821.0,Missouri
51,Information,66288.0,Missouri
52,Finance and insurance,131275.0,Missouri
53,Real estate and rental and leasing,36525.0,Missouri
54,"Professional, scientific, and technical services",144024.0,Missouri
55,Management of companies and enterprises,73906.0,Missouri
56,Administrative and support and waste management and remediation services,147091.0,Missouri
61,Educational services,69064.0,Missouri
62,Health care and social assistance,373344.0,Missouri
71,"Arts, entertainment, and recreation",39411.0,Missouri
72,Accommodation and food services,235862.0,Missouri
81,Other services (except public administration),113661.0,Missouri
99,Industries not classified,0.0,Missouri
--,Total,341357.0,Montana
11,"Agriculture, forestry, fishing and hunting",1127.0,Montana
21,"Mining, quarrying, and oil and gas extraction",6044.0,Montana
22,Utilities,2907.0,Montana
23,Construction,22616.0,Montana
31-33,Manufacturing,17226.0,Montana
42,Wholesale trade,13972.0,Montana
44-45,Retail trade,56989.0,Montana
48-49,Transportation and warehousing,10990.0,Montana
51,Information,9366.0,Montana
52,Finance and insurance,18201.0,Montana
53,Real estate and rental and leasing,5906.0,Montana
54,"Professional, scientific, and technical services",17194.0,Montana
55,Management of companies and enterprises,2623.0,Montana
56,Administrative and support and waste management and remediation services,18980.0,Montana
61,Educational services,5239.0,Montana
62,Health care and social assistance,61813.0,Montana
